Ruby Suites Quartier les Halles,Strasbourg,Marion Gargowitsch,RUB,rubysuites,518 126 990 00093,RE,RE,3*,Villes et châteaux,67000,9 Rue des Magasins,DG Urbans,rubysuites-strasbourg.com
Soleil,Lyon,Ryumeko,SOL,soleil,,FJT,RE,na,popinns,69003,Diffus,Popinns,www.popinns.org
Sous les Pins,Ronce les Bains,Daniel Blouin ,SLP,souslespins,523 822 112 00232,RE,RE,,Villes et châteaux,17390,17 Avenue de la Côte de Beauté,DG Holidays,souslespins-roncelesbains.com
Splendid Hôtel,Chatel-Guyon,Lisiane Fernandes,SPL,splendid,523 822 112 00141,RE,HO,3*,Nature et Bien être,63140,5/7 Rue d'Angleterre,DG Holidays,splendid-chatelguyon.com
Totem,Villeurbanne,Florian Mearini,TEM,totem,814 920 153 00040,FJT,RE,na,popinns,69100,,Popinns,www.popinns.org
Urban Lodge Mulhouse,Mulhouse,David Guillaumin,MUL,urbanlodge,518 126 990 001 01,RE,RE,,,68100,"8, rue Saint Sauveur",DG Urbans,www.urbanlodge-mulhouse.com
Villa Bellagio Amboise,Amboise,Thi Thuy Nguyen,AMB,vbamboise,518 126 990 00051,RE,"HO, RE, RR",3*,Villes et châteaux,37400,115 Route de Civray de Touraine,DG Urbans,villabellagio-amboise.com
Villa Bellagio Blois,La-Chaussée-Saint-Victor,Thi Thuy Nguyen,BLO,vbblois,539 420 810 00027,RE,"HO, RR",3*,Villes et châteaux,41260,1 Rue De l'Almandin,VB Blois,villabellagio-blois.com
Villa Bellagio Marne la Vallée,Bussy-Saint-Georges,Oussama Souli,BUS,vbbussy,518 126 990 00069,RE,"HO, RE",2*,Grand Paris ,77600,39 Boulevard de Lagny,DG Urbans,villabellagio-bussy.com
Villa Bellagio - Parc Euromédecine,Montpellier,Lucie Flavier,MTP,vbmontpellier,518 126 990 00028,RE,"HO, RE",3*,Villes et châteaux,34000,1149 Rue de la Croix Verte,DG Urbans,villabellagio-montpellier.com
Villa Bellagio Villejuif,Villejuif,SOULI Oussama,VLJ,vbvillejuif,518 126 990 00036,RE,"HO, RE",3*,Grand Paris ,94800,95 Avenue du Président Allendé,DG Urbans,villabellagio-villejuif.com
Villa Mariale Lourdes,Lourdes,Florence Mezaz,LOU,villamariale,518 126 990 00085,RE,HO,3*,Villes et châteaux,65100,15/17 Avenue du Paradis,DG Urbans,villamariale.com
Village d'Oc - Golf Béziers ,Béziers,Myriam Kihal,VOC,villagedoc,523 822 112 00026,RE,RE,3*,Nature et Bien être,34500,Route de Bessan,DG Holidays,villagedoc-beziers.com
Villages du Bachat,Chamrousse,Caroline Meyer,VDB,"villagesdubachat 

(anciennement) Arselle",523 822 112 00380,RE,RE,2*,Montagne et sport,38410,495 route de Bachat Bouloud,DG Holidays,domaine-de-larselle.com (lesvillagesdubachat.com)
Virginia,Grasse,Cyril Duneau ,VIR,virginia,518 129 990 00127,RE,RE,3* ,Nature et Bien être,06130,"10 Traverse Dupont 
",DG Urbans,levirginia-grasse.com
Wagon Restaurant,Lyon,Fanny Arluison,WAG,wagon,,RR,RR,na,popinns,69003,2 place de Francfort,Habitat Jeunes Services,
